name,type,default,nullable,api_show,api_create,api_edit,api_view,api_validator,api_default,api_transform,doc,Ecf/Campaign_table_label,Ecf/Campaign_table_name,Ecf/Campaign_table_show,Ecf/Campaign_table_search,Ecf/Campaign_table_sort,Ecf/Campaign_table_datatype,Ecf/Campaign_form_label,Ecf/Campaign_form_name,Ecf/Campaign_form_create,Ecf/Campaign_form_edit,Ecf/Campaign_form_type,Ecf/Campaign_form_model,Ecf/Campaign_form_default,Ecf/Campaign_form_validator,Ecf/Campaign_form_param,Ecf/Campaign_form_attr,Ecf/Campaign_vue_model,Ecf/Campaign_vue_visible,Ecf/Campaign_vue_type,Ecf/Campaign_vue_default,Ecf/Campaign_view_label,Ecf/Campaign_view_name,Ecf/Campaign_view_visible,Ecf/Campaign_view_type,Ecf/Campaign_view_model
_id,object,,,no,RO,RO,,,,,,,_id,no,no,no,object,,_id,no,no,,_id,,,,,_id,no,,,,_id,no,,_id
ajax,,,,,,,,,,,,,ajax,no,no,no,boolean,,ajax,no,no,,ajax,,,,,ajax,no,,,,ajax,no,,ajax
handle,,,,,,,,,,,,,handle,no,no,no,string,,handle,no,no,,handle,,,,,handle,no,,,,handle,no,,handle
deleted,integer,0,,,,,,,,,,,deleted,no,no,no,integer,,deleted,no,no,,deleted,,,,,deleted,no,,,,deleted,no,,deleted
createdAt,datetime,,,,,,,,,,,,createdAt,no,no,no,datetime,,createdAt,no,no,,createdAt,,,,,createdAt,no,,,,createdAt,no,,createdAt
updatedAt,datetime,,,,,,,,,,,,updatedAt,no,no,no,datetime,,updatedAt,no,no,,updatedAt,,,,,updatedAt,no,,,,updatedAt,no,,updatedAt
updated_at,datetime,,,,,,,,,,,,updated_at,no,no,no,datetime,,updated_at,no,no,,updated_at,,,,,updated_at,no,,,,updated_at,no,,updated_at
created_at,datetime,,,,,,,,,,,,created_at,no,no,no,datetime,,created_at,no,no,,created_at,,,,,created_at,no,,,,created_at,no,,created_at
ownerId,,,,,,,,,,,,,ownerId,no,no,no,string,,ownerId,no,no,,ownerId,,,,,ownerId,no,,,,ownerId,no,,ownerId
ownerName,,,,,,,,,,,,,ownerName,no,no,no,string,,ownerName,no,no,,ownerName,,,,,ownerName,no,,,,ownerName,no,,ownerName
masterId,,,,,,,,,,,,Master ID,masterId,no,,,,Master ID,masterId,,,,masterId,,,,,masterId,,,,Master ID,masterId,,,masterId
masterName,,,,,,,,,,,,Master Name,masterName,no,,,,Master Name,masterName,,,,masterName,,,,,masterName,,,,Master Name,masterName,,,masterName
companyId,,,,,,,,,,,,Company ID,companyId,no,,,,Company ID,companyId,,,,companyId,,,,,companyId,,,,Company ID,companyId,,,companyId
companyName,,,,,,,,,,,,Company Name,companyName,no,,,,Company Name,companyName,,,,companyName,,,,,companyName,,,,Company Name,companyName,,,companyName
sbuId,,,,,,,,,,,,SBU ID,sbuId,no,,,,SBU ID,sbuId,,,,sbuId,,,,,sbuId,,,,SBU ID,sbuId,,,sbuId
sbuName,,,,,,,,,,,,SBU Name,sbuName,no,,,,SBU Name,sbuName,,,,sbuName,,,,,sbuName,,,,SBU Name,sbuName,,,sbuName
deptId,,,,,,,,,,,,Dept ID,deptId,no,,,,Dept ID,deptId,,,,deptId,,,,,deptId,,,,Dept ID,deptId,,,deptId
deptName,,,,,,,,,,,,Dept Name,deptName,no,,,,Dept Name,deptName,,,,deptName,,,,,deptName,,,,Dept Name,deptName,,,deptName
email,,,,,,,,,,,,Email ,email,,,,,Email ,email,,,,email,,,,,email,,,,Email ,email,,,email
name,,,,,,,,,,,,Nama Lengkap ,name,,,,,Nama Lengkap ,name,,,,name,,,,,name,,,,Nama Lengkap ,name,,,name
position,,,,,,,,,,,,Posisi di perusahaan ,position,,,,,Posisi di perusahaan ,position,,,,position,,,,,position,,,,Posisi di perusahaan ,position,,,position
contactWA,,,,,,,,,,,,No Whats app yang dapat dihubungi ,contactWA,,,,,No Whats app yang dapat dihubungi ,contactWA,,,,contactWA,,,,,contactWA,,,,No Whats app yang dapat dihubungi ,contactWA,,,contactWA
ownerIdCard,,,,,,,,,,,,KTP Pemilik dan Direksi,ownerIdCard,,,,,KTP Pemilik dan Direksi,ownerIdCard,,,,ownerIdCard,,,,,ownerIdCard,,,,KTP Pemilik dan Direksi,ownerIdCard,,,ownerIdCard
bizTradeMark,,,,,,,,,,,,Merek Bisnis ,bizTradeMark,,,,,Merek Bisnis ,bizTradeMark,,,,bizTradeMark,,,,,bizTradeMark,,,,Merek Bisnis ,bizTradeMark,,,bizTradeMark
bizAddress,,,,,,,,,,,,Alamat Domisili Usaha ,bizAddress,,,,,Alamat Domisili Usaha ,bizAddress,,,,bizAddress,,,,,bizAddress,,,,Alamat Domisili Usaha ,bizAddress,,,bizAddress
bizType,,,,,,,,,,,,Jenis Usaha ,bizType,,,,,Jenis Usaha ,bizType,,,,bizType,,,,,bizType,,,,Jenis Usaha ,bizType,,,bizType
bizRegisteredName,,,,,,,,,,,,Nama Badan Usaha sesuai Akta Perusahaan,bizRegisteredName,,,,,Nama Badan Usaha sesuai Akta Perusahaan,bizRegisteredName,,,,bizRegisteredName,,,,,bizRegisteredName,,,,Nama Badan Usaha sesuai Akta Perusahaan,bizRegisteredName,,,bizRegisteredName
bizCompanyType,,,,,,,,,,,,Bentuk Badan Usaha ,bizCompanyType,,,,,Bentuk Badan Usaha ,bizCompanyType,,,,bizCompanyType,,,,,bizCompanyType,,,,Bentuk Badan Usaha ,bizCompanyType,,,bizCompanyType
legality,,,,,,,,,,,,Konfirmasi legalitas perusahaan ,legality,,,,,Konfirmasi legalitas perusahaan ,legality,,,,legality,,,,,legality,,,,Konfirmasi legalitas perusahaan ,legality,,,legality
attAktaPerusahaan,,,,,,,,,,,,Lampiran Akta Perusahaan ,attAktaPerusahaan,,,,,Lampiran Akta Perusahaan ,attAktaPerusahaan,,,attachmentupload,attAktaPerusahaan,,,,,attAktaPerusahaan,,,,Lampiran Akta Perusahaan ,attAktaPerusahaan,,,attAktaPerusahaan
